sentence1,sentence2,score
突然想到与你同在江西之时，同宿僧寺，同桌而餐，虽清贫但惬意无穷。,斋厨犹忆饭时同,0.0
突然想到与你同在江西之时，同宿僧寺，同桌而餐，虽清贫但惬意无穷。,何日僧床谋野饭,0.0
突然想到与你同在江西之时，同宿僧寺，同桌而餐，虽清贫但惬意无穷。,祇共癯僧寻野饭,0.0
有谁能知道山公的情趣，他天天登高远眺。,谁有青山意,0.0
有谁能知道山公的情趣，他天天登高远眺。,谁谓山公意,0.0
有谁能知道山公的情趣，他天天登高远眺。,谁会山公意,1.0
有谁能知道山公的情趣，他天天登高远眺。,谁识东山意,0.0
不知什么时候才能相会？,此会在何年,1.0
不知什么时候才能相会？,此会是何年,0.0
不知什么时候才能相会？,重会是何年,0.0
不知什么时候才能相会？,庆会在何年,0.0
而现实中从来就没有见过春天。,柳色看犹未,0.0
而现实中从来就没有见过春天。,春色未曾看,1.0
而现实中从来就没有见过春天。,春色看将晚,0.0
而现实中从来就没有见过春天。,春色未曾来,0.0
给老伴儿写了几纸书信。,尺书虽满纸,0.0
给老伴儿写了几纸书信。,老妻为纸局,0.0
给老伴儿写了几纸书信。,老妻书数纸,1.0
给老伴儿写了几纸书信。,老翁书片纸,0.0
由于缺少异数，我纵酒，烂竽充之。想隐居水边，可在水滨依然是王臣。现在老了，还说什么“事了拂衣去”。,吏情未觉沧洲远，倩汝微澜为濯缨。,0.0
由于缺少异数，我纵酒，烂竽充之。想隐居水边，可在水滨依然是王臣。现在老了，还说什么“事了拂衣去”。,吏情更觉沧洲远，老大徒伤未拂衣。,1.0
由于缺少异数，我纵酒，烂竽充之。想隐居水边，可在水滨依然是王臣。现在老了，还说什么“事了拂衣去”。,多病可堪回首远，吏情吾已付沧洲。,0.0
由于缺少异数，我纵酒，烂竽充之。想隐居水边，可在水滨依然是王臣。现在老了，还说什么“事了拂衣去”。,吏情更觉沧洲远，老大悲伤未拂衣。,0.0
当然都以自得其乐为常情。,自适固其常,1.0
当然都以自得其乐为常情。,物固无常宜,0.0
当然都以自得其乐为常情。,道心常自适,0.0
当然都以自得其乐为常情。,耕战固其常,0.0
长空净沧海色本来就是澄澈清明。,天容海色豁然开,0.0
长空净沧海色本来就是澄澈清明。,海色天容本澄静,0.0
长空净沧海色本来就是澄澈清明。,秋来一色碧澄清,0.0
长空净沧海色本来就是澄澈清明。,天容海色本澄清,1.0
愁作秋浦之客。,江干愁作客,0.0
愁作秋浦之客。,独作秋江客,0.0
愁作秋浦之客。,愁作秋浦客,1.0
愁作秋浦之客。,秋月对愁客,0.0
春天的梦因为脑子混乱记不得了。,春梦乱不记,1.0
春天的梦因为脑子混乱记不得了。,春梦不离山,0.0
春天的梦因为脑子混乱记不得了。,春梦断不记,0.0
春天的梦因为脑子混乱记不得了。,春梦不离乡,0.0
浩瀚沙漠中孤烟直上。,漠漠孤烟合,0.0
浩瀚沙漠中孤烟直上。,大漠孤烟直,1.0
浩瀚沙漠中孤烟直上。,孤烟生绝漠,0.0
浩瀚沙漠中孤烟直上。,峰渺孤烟直,0.0
山间野果在秋雨中落下。,落叶雨中山,0.0
山间野果在秋雨中落下。,雨中山果落,1.0
山间野果在秋雨中落下。,雨深山果落,0.0
山间野果在秋雨中落下。,山果经风落,0.0
好让人看到朝廷重建晋阳。,闻说君家住渝阳,0.0
好让人看到朝廷重建晋阳。,一官家近住河阳,0.0
好让人看到朝廷重建晋阳。,长官家势洛阳人,0.0
好让人看到朝廷重建晋阳。,重看官家筑晋阳,1.0
道道晚霞都变成了白白的云朵。,晴云变晚霞,0.0
道道晚霞都变成了白白的云朵。,晚云都变露,1.0
道道晚霞都变成了白白的云朵。,寒云忽变霞,0.0
道道晚霞都变成了白白的云朵。,水云含变态,0.0
城里经历上百次战乱之后。,城池百战后,1.0
城里经历上百次战乱之后。,城池百战里,0.0
城里经历上百次战乱之后。,江山百战后,0.0
城里经历上百次战乱之后。,秦城百战地,0.0
投宿的鸟儿，一群群鸣叫着飞过。,鸣鸟故啾啾,0.0
投宿的鸟儿，一群群鸣叫着飞过。,啁啾鸟度枝,0.0
投宿的鸟儿，一群群鸣叫着飞过。,啾啾栖鸟过,1.0
投宿的鸟儿，一群群鸣叫着飞过。,啾啾群鸟雀,0.0
把松树拿到集市上去卖。,入市非求利,0.0
把松树拿到集市上去卖。,市喧宜近利,0.0
把松树拿到集市上去卖。,入市虽求利,1.0
把松树拿到集市上去卖。,求利莫求名,0.0
边城之中，仍然残存着点点积雪。,残雪树边来,0.0
边城之中，仍然残存着点点积雪。,残雪冻篱根,0.0
边城之中，仍然残存着点点积雪。,残雪边城夕,0.0
边城之中，仍然残存着点点积雪。,残雪冻边城,1.0
船上齐唱行船之歌。,船上齐桡乐,1.0
船上齐唱行船之歌。,浦口齐桡乐,0.0
船上齐唱行船之歌。,人向船头乐,0.0
船上齐唱行船之歌。,红船上下游,0.0
江南一带吞掉了楚国的一大片。,七泽吞吴楚,0.0
江南一带吞掉了楚国的一大片。,楚王云梦泽,0.0
江南一带吞掉了楚国的一大片。,梦泽吞楚大,1.0
江南一带吞掉了楚国的一大片。,匈次泽吞楚,0.0
赵国的和氏璧价值连城。,连城轻伪璧,0.0
赵国的和氏璧价值连城。,赵氏连城璧,1.0
赵国的和氏璧价值连城。,赵璧连城价,0.0
赵国的和氏璧价值连城。,似获连城璧,0.0
锦雉野鹿飞跃芳草地。,独鸟远飞芳草外,0.0
锦雉野鹿飞跃芳草地。,雊雉平原芳草没,0.0
锦雉野鹿飞跃芳草地。,野鹿不惊芳草过,0.0
锦雉野鹿飞跃芳草地。,雉飞鹿过芳草远,1.0
这句话骗得前来爬山的人白白地欢喜一场。,赚得行人坐相誇,0.0
这句话骗得前来爬山的人白白地欢喜一场。,教人欢喜耐人愁,0.0
这句话骗得前来爬山的人白白地欢喜一场。,赚得行人错喜欢,1.0
这句话骗得前来爬山的人白白地欢喜一场。,赚得行人空喜欢,0.0
一直可以看到苍茫溟渤的大海。,直接沧溟月,0.0
一直可以看到苍茫溟渤的大海。,直下见溟渤,1.0
一直可以看到苍茫溟渤的大海。,逶迤就溟渤,0.0
一直可以看到苍茫溟渤的大海。,上彻见东溟,0.0
树叶纷纷下落，丈夫远征辽阳已逾十载，令人思念。,十年征戍忆辽西,0.0
树叶纷纷下落，丈夫远征辽阳已逾十载，令人思念。,十年征戍忆辽阳,1.0
树叶纷纷下落，丈夫远征辽阳已逾十载，令人思念。,十年风谊忆滇阳,0.0
树叶纷纷下落，丈夫远征辽阳已逾十载，令人思念。,辽阳征戍惜频年,0.0
空负了殷勤仰慕一片心意。,黾勉空仰止,1.0
空负了殷勤仰慕一片心意。,高山空仰止,0.0
空负了殷勤仰慕一片心意。,敢不益黾勉,0.0
空负了殷勤仰慕一片心意。,黾勉复行役,0.0
战斗万分艰苦，报国真是谈何容易。,难酬报国心,0.0
战斗万分艰苦，报国真是谈何容易。,战苦心逾勇,0.0
战斗万分艰苦，报国真是谈何容易。,战苦军犹乐,0.0
战斗万分艰苦，报国真是谈何容易。,战苦难酬国,1.0
兴庆宫和甘露殿秋草丛生。,南苑秋风碧草多,0.0
兴庆宫和甘露殿秋草丛生。,西宫南内多秋草,1.0
兴庆宫和甘露殿秋草丛生。,西宫芳草正添愁,0.0
兴庆宫和甘露殿秋草丛生。,锦城宫殿多烟草,0.0
忧思郁结在心里，一天要难过好几回。,愁肠日几旋,0.0
忧思郁结在心里，一天要难过好几回。,愁肠日几回,1.0
忧思郁结在心里，一天要难过好几回。,牵肠日九回,0.0
忧思郁结在心里，一天要难过好几回。,愁肠日九回,0.0
夕阳的斜影投向高楼。,斜影下危楼,1.0
夕阳的斜影投向高楼。,危楼岸影斜,0.0
夕阳的斜影投向高楼。,孤影下南楼,0.0
夕阳的斜影投向高楼。,斜阳下堞楼,0.0
并不是看重恋眷职务啊。,讵是为专城,0.0
并不是看重恋眷职务啊。,不是厌专城,0.0
并不是看重恋眷职务啊。,不是顾专城,1.0
并不是看重恋眷职务啊。,昨日是专城,0.0
流传到汉地曲调变得新奇。,䢴水曲流通汝汉,0.0
流传到汉地曲调变得新奇。,曲房路转闻流水,0.0
流传到汉地曲调变得新奇。,流传汉地曲转奇,1.0
流传到汉地曲调变得新奇。,流传乐府已稀奇,0.0
我奉劝上天要重新振作精神。,不惜威风重抖擞,0.0
我奉劝上天要重新振作精神。,我笑天公空抖擞,0.0
我奉劝上天要重新振作精神。,我劝天公重抖擞,1.0
我奉劝上天要重新振作精神。,劳君诱我向天涯,0.0
我辈真羡慕你的清净高洁。,吾独慕清修,0.0
我辈真羡慕你的清净高洁。,心已爱清芬,0.0
我辈真羡慕你的清净高洁。,吾党慕清芬,1.0
我辈真羡慕你的清净高洁。,绝世此清芬,0.0
宾主围坐临湖亭开怀畅饮。,开轩对酒尊,0.0
宾主围坐临湖亭开怀畅饮。,对坐忆尊酒,0.0
宾主围坐临湖亭开怀畅饮。,当轩对樽酒,0.0
宾主围坐临湖亭开怀畅饮。,当轩对尊酒,1.0
这才晓得那无限美好的天上神仙窟。,因知海上神仙窟,1.0
这才晓得那无限美好的天上神仙窟。,漫言海上神仙宅,0.0
这才晓得那无限美好的天上神仙窟。,定知海上驻神仙,0.0
这才晓得那无限美好的天上神仙窟。,楼台海上神仙宅,0.0
正象那汤盘孔鼎的铭文，古器虽早就荡然无存，世间却永远流传着文辞。,孔经自信衣裳在，惜哉庐传今无存。,0.0
正象那汤盘孔鼎的铭文，古器虽早就荡然无存，世间却永远流传着文辞。,汤盘孔鼎有述作，今无其器存其辞。,1.0
正象那汤盘孔鼎的铭文，古器虽早就荡然无存，世间却永远流传着文辞。,美矣吾邦此大夫，仁中有勇信今无。,0.0
正象那汤盘孔鼎的铭文，古器虽早就荡然无存，世间却永远流传着文辞。,仲尼一语君勿谖，先观其行后其言。,0.0
旅途漫漫，远隔家乡千里之遥。,客路三千里,0.0
旅途漫漫，远隔家乡千里之遥。,客路六千里,0.0
旅途漫漫，远隔家乡千里之遥。,客路四千里,0.0
旅途漫漫，远隔家乡千里之遥。,客路逾千里,1.0
没等池塘生春草的美梦醒来。,池塘春草梦全无,0.0
没等池塘生春草的美梦醒来。,池塘春草梦初回,0.0
没等池塘生春草的美梦醒来。,未觉池塘春草梦,1.0
没等池塘生春草的美梦醒来。,攲枕池塘春草梦,0.0
月光照亮了万物。,光含乐镜清,0.0
月光照亮了万物。,谦光随物理,0.0
月光照亮了万物。,光濡是物清,1.0
月光照亮了万物。,光分物状全,0.0
来慰问我由远地归来。,借问远行客,0.0
来慰问我由远地归来。,问我久远行,1.0
来慰问我由远地归来。,送君远行役,0.0
来慰问我由远地归来。,问我能嗟远,0.0
担心今随岁月去。,岁月百忧集,0.0
担心今随岁月去。,岁月杀忧栗,1.0
担心今随岁月去。,何忧岁月赊,0.0
担心今随岁月去。,日月勤忧患,0.0
水潭上的月亮又要西落。,高城落月雁飞斜,0.0
水潭上的月亮又要西落。,暮云斜月落江潭,0.0
水潭上的月亮又要西落。,水落西陵日已斜,0.0
水潭上的月亮又要西落。,江潭落月复西斜,1.0
高山古寺中的桃花才刚刚盛放。,蒋山寺里看花开,0.0
高山古寺中的桃花才刚刚盛放。,山圃桃花开正好,0.0
高山古寺中的桃花才刚刚盛放。,山寺桃花始盛开,1.0
高山古寺中的桃花才刚刚盛放。,破腊山桃已盛开,0.0
象潏潏汩汩水流的声音不固定，又象北方的胡人学汉学一样，语言朦胧不清。,清溪汩汩正愁鱼，但恐相濡在涸渠。,0.0
象潏潏汩汩水流的声音不固定，又象北方的胡人学汉学一样，语言朦胧不清。,潏潏汩汩声不定，胡雏学汉语未正。,1.0
象潏潏汩汩水流的声音不固定，又象北方的胡人学汉学一样，语言朦胧不清。,才闻儿女呢呢语，又作胡雏恋母声。,0.0
象潏潏汩汩水流的声音不固定，又象北方的胡人学汉学一样，语言朦胧不清。,河流汩汩语精灵，吹壁烟痕破窅冥。,0.0
飘出去的云朵哪里找回。,行到却难寻,0.0
飘出去的云朵哪里找回。,行云难问信,0.0
飘出去的云朵哪里找回。,重吟行路难,0.0
飘出去的云朵哪里找回。,行云难重寻,1.0
寒凉的风中传来不知谁家的捶绢声。,谁家凄切捣衣声,0.0
寒凉的风中传来不知谁家的捶绢声。,谁家秋夜捣衣声,0.0
寒凉的风中传来不知谁家的捶绢声。,谁家捣练动新愁,0.0
寒凉的风中传来不知谁家的捶绢声。,谁家捣练风凄凄,1.0
记得那年你我离别的时候。,年年离别泪,0.0
记得那年你我离别的时候。,年年离别处,0.0
记得那年你我离别的时候。,那年离别日,1.0
记得那年你我离别的时候。,那时离别后,0.0
狂风扫平了大雁栖息的沙滩。,风回雁落沙,0.0
狂风扫平了大雁栖息的沙滩。,雁向平沙起,0.0
狂风扫平了大雁栖息的沙滩。,风扫雁沙平,1.0
狂风扫平了大雁栖息的沙滩。,风冷平沙雁,0.0
谁家的山最好看。,谁更好如山,0.0
谁家的山最好看。,家在最深山,0.0
谁家的山最好看。,谁家最好山,1.0
谁家的山最好看。,谁见家园好,0.0
摘下葵叶来煮汤。,纹甃生旅葵,0.0
摘下葵叶来煮汤。,井上生旅葵,1.0
摘下葵叶来煮汤。,井上半残叶,0.0
摘下葵叶来煮汤。,井泉生蒺藜,0.0
京城的大路上行人车马川流不息，扬起的灰尘扑面而来，人们都说自己刚从玄都观里赏花回来。,无人不道看花回，犹忆红螺一两杯。,0.0
京城的大路上行人车马川流不息，扬起的灰尘扑面而来，人们都说自己刚从玄都观里赏花回来。,紫陌红尘拂面来，无人不道看花回。,1.0
京城的大路上行人车马川流不息，扬起的灰尘扑面而来，人们都说自己刚从玄都观里赏花回来。,多少红尘随去马，相逢俱道看花人。,0.0
京城的大路上行人车马川流不息，扬起的灰尘扑面而来，人们都说自己刚从玄都观里赏花回来。,洞口春晴花正开，无人不道看花回。,0.0
才华超绝与伊尹吕尚难分高下。,伯仲之间见武侯,0.0
才华超绝与伊尹吕尚难分高下。,伯仲之间竹与梅,0.0
才华超绝与伊尹吕尚难分高下。,伯仲周郎是吕蒙,0.0
才华超绝与伊尹吕尚难分高下。,伯仲之间见伊吕,1.0
兰花生长在山岩最高处，在突出的岩石和深深裂缝中，散发着浓郁的香气。,身在层霄第几峰，烟霞深处一岩空。,0.0
兰花生长在山岩最高处，在突出的岩石和深深裂缝中，散发着浓郁的香气。,身在千山顶上头，突岩深缝妙香稠。,1.0
兰花生长在山岩最高处，在突出的岩石和深深裂缝中，散发着浓郁的香气。,身腾迷雾重云上，药在悬岩绝壁间。,0.0
兰花生长在山岩最高处，在突出的岩石和深深裂缝中，散发着浓郁的香气。,家在千山欲尽头，长林绝壁寺门幽。,0.0
一直像在碧云间沉吟。,沉吟碧云间,1.0
一直像在碧云间沉吟。,清吟云壑间,0.0
一直像在碧云间沉吟。,高论碧云间,0.0
一直像在碧云间沉吟。,人在碧云间,0.0
闪着冷光的夕日步下危峰。,寒日下峰西,0.0
闪着冷光的夕日步下危峰。,寒日下危峰,1.0
闪着冷光的夕日步下危峰。,日堕危峰影,0.0
闪着冷光的夕日步下危峰。,寒日上危峰,0.0
又一个老头悠闲自在。,安闲愧老樵,0.0
又一个老头悠闲自在。,安闲一老翁,1.0
又一个老头悠闲自在。,心如一老翁,0.0
又一个老头悠闲自在。,安闲愧老僧,0.0
我似麇鹿，生性喜爱幽静的山林。,麋鹿性山林,1.0
我似麇鹿，生性喜爱幽静的山林。,自谙麋鹿性,0.0
我似麇鹿，生性喜爱幽静的山林。,鹿性本山林,0.0
我似麇鹿，生性喜爱幽静的山林。,麋鹿自山林,0.0
老朋友已经难以见到了。,故乡不可见,0.0
老朋友已经难以见到了。,故人不可见,1.0
老朋友已经难以见到了。,昔人不可见,0.0
老朋友已经难以见到了。,故人不我见,0.0
扬州的少女们无忧无虑，笑脸迎人。,不胜清泪湿吴笺,0.0
扬州的少女们无忧无虑，笑脸迎人。,萧娘脸下难胜泪,0.0
扬州的少女们无忧无虑，笑脸迎人。,卫娘发薄不胜梳,0.0
扬州的少女们无忧无虑，笑脸迎人。,萧娘脸薄难胜泪,1.0
春天来了，湖上缭绕着烟霭，带有浓重的湿意。,春色冷湖头,0.0
春天来了，湖上缭绕着烟霭，带有浓重的湿意。,晓看春云腻,0.0
春天来了，湖上缭绕着烟霭，带有浓重的湿意。,湖烟晴似染,0.0
春天来了，湖上缭绕着烟霭，带有浓重的湿意。,春着湖烟腻,1.0
整年都不会有小吏来催租。,寻芳无客叩柴扉,0.0
整年都不会有小吏来催租。,经年闲废闭柴荆,0.0
整年都不会有小吏来催租。,经年无吏叩柴荆,1.0
整年都不会有小吏来催租。,蚕忌柴门无客叩,0.0
清晨，满脸稚气的小孩。,红盆刷羽冰花湿,0.0
清晨，满脸稚气的小孩。,稚子金盆脱晓冰,1.0
清晨，满脸稚气的小孩。,稚子花襦簇晓盘,0.0
清晨，满脸稚气的小孩。,稚子玉肤新脱锦,0.0
深山里至今推崇大禹的丰功。,禹功今尚在,0.0
深山里至今推崇大禹的丰功。,看山识禹功,0.0
深山里至今推崇大禹的丰功。,深怀夏禹功,0.0
深山里至今推崇大禹的丰功。,深山尚禹功,1.0
钟山就隐没在几座山峦的后面。,楚亭才隔几重山,0.0
钟山就隐没在几座山峦的后面。,钟山只隔数重山,1.0
钟山就隐没在几座山峦的后面。,江湖才隔数重山,0.0
钟山就隐没在几座山峦的后面。,钟山祇隔数重山,0.0
一道残阳倒影在江面上，阳光照射下，波光粼粼，一半呈现出深深的碧色，一半呈现出红色。,高拥残阳萧寺晚，半随流水楚江秋。,0.0
一道残阳倒影在江面上，阳光照射下，波光粼粼，一半呈现出深深的碧色，一半呈现出红色。,一道残阳铺水中，半江瑟瑟半江红。,1.0
一道残阳倒影在江面上，阳光照射下，波光粼粼，一半呈现出深深的碧色，一半呈现出红色。,一曲黄河连野浊，半规残日背人红。,0.0
一道残阳倒影在江面上，阳光照射下，波光粼粼，一半呈现出深深的碧色，一半呈现出红色。,一撮秋烟堤上白，半轮残日岭头红。,0.0
到处都开满了欲放的苛花。,菡萏发清池,0.0
到处都开满了欲放的苛花。,菡萏发荷花,1.0
到处都开满了欲放的苛花。,萏菡发香池,0.0
到处都开满了欲放的苛花。,菡萏露中花,0.0
他们英姿飒爽好象是正在酣战。,英姿飒爽来酣战,1.0
他们英姿飒爽好象是正在酣战。,英姿飒爽犹横槊,0.0
他们英姿飒爽好象是正在酣战。,英姿飒爽气雄哉,0.0
他们英姿飒爽好象是正在酣战。,麟阁英姿随爽气,0.0
屈原是古时的豪迈之人。,大梁二壮士,0.0
屈原是古时的豪迈之人。,屈原古壮士,1.0
屈原是古时的豪迈之人。,古原咏文士,0.0
屈原是古时的豪迈之人。,壮士平原死,0.0
不如在春分时节，多向春雨深处行走。,春山雨不分,0.0
不如在春分时节，多向春雨深处行走。,春风处处行,0.0
不如在春分时节，多向春雨深处行走。,雨馀行处静,0.0
不如在春分时节，多向春雨深处行走。,春分雨处行,1.0
我曾听过色、空的比喻，造物界到底是谁在巧夺天工？,触目纷为异，谁知造化工。,0.0
我曾听过色、空的比喻，造物界到底是谁在巧夺天工？,尝闻色空喻，造物谁为工？,1.0
我曾听过色、空的比喻，造物界到底是谁在巧夺天工？,谁拟虚空相，所见是顽空。,0.0
我曾听过色、空的比喻，造物界到底是谁在巧夺天工？,秀色难为喻，神机借可斟。,0.0
未衰之年应见海内清平。,频年难见泰阶平,0.0
未衰之年应见海内清平。,何年重见泰阶平,0.0
未衰之年应见海内清平。,九茎曾见泰阶平,0.0
未衰之年应见海内清平。,未衰应见泰阶平,1.0
春风过处苗麦摇摆，堤上杨柳依依。,麦浪摇波柳映津,0.0
春风过处苗麦摇摆，堤上杨柳依依。,著麦苗风柳映堤,1.0
春风过处苗麦摇摆，堤上杨柳依依。,著柳暗黄初映堤,0.0
春风过处苗麦摇摆，堤上杨柳依依。,湖上薰风柳夹堤,0.0
希望能够一扫大漠对中原的威胁。,雾扫清玄塞,0.0
希望能够一扫大漠对中原的威胁。,一径清如扫,0.0
希望能够一扫大漠对中原的威胁。,何时清大漠,0.0
希望能够一扫大漠对中原的威胁。,一扫清大漠,1.0
定会万古留名传谥。,千古勋名在,0.0
定会万古留名传谥。,千古汉名臣,0.0
定会万古留名传谥。,芳名千古传,0.0
定会万古留名传谥。,千古传名谥,1.0
我们的君主难道缺少这些东西。,此君合是吾庐物,0.0
我们的君主难道缺少这些东西。,我亦山中富此物,0.0
我们的君主难道缺少这些东西。,君家所有吾弗如,0.0
我们的君主难道缺少这些东西。,吾君所乏岂此物,1.0
美丽资质随着月亮变得丰满。,瑰姿随月满,0.0
美丽资质随着月亮变得丰满。,玉颜行月满,0.0
美丽资质随着月亮变得丰满。,月看玉奁满,0.0
美丽资质随着月亮变得丰满。,玉质随月满,1.0
白鸥日日长在。,日见白鸥迎,0.0
白鸥日日长在。,日落白鸥寒,0.0
白鸥日日长在。,时见白鸥群,0.0
白鸥日日长在。,日见白鸥在,1.0
明亮的蜡烛吐着缕缕青烟。,银烛吐珠光,0.0
明亮的蜡烛吐着缕缕青烟。,银烛散青烟,0.0
明亮的蜡烛吐着缕缕青烟。,银烛吐青烟,1.0
明亮的蜡烛吐着缕缕青烟。,银烛烂春霞,0.0
春光幻照之下，山景气象万千。,山光物态弄春辉,0.0
春光幻照之下，山景气象万千。,山光物态弄春晖,1.0
春光幻照之下，山景气象万千。,变成春态媚晴晖,0.0
春光幻照之下，山景气象万千。,山光水色借春妍,0.0
黄昏时假如泊舟在喧闹低湿的地方，将令我忧愁。,应愁晚泊喧卑地,1.0
黄昏时假如泊舟在喧闹低湿的地方，将令我忧愁。,赁舍喧卑谪宦情,0.0
黄昏时假如泊舟在喧闹低湿的地方，将令我忧愁。,卑湿岂愁梅雨地,0.0
黄昏时假如泊舟在喧闹低湿的地方，将令我忧愁。,只应勃窣喧卑里,0.0
想寄封信儿告诉你，这层层的山，道道的水，又怎能到得了你的手中？,水远山长处处同,1.0
想寄封信儿告诉你，这层层的山，道道的水，又怎能到得了你的手中？,涧水行来处处同,0.0
想寄封信儿告诉你，这层层的山，道道的水，又怎能到得了你的手中？,水秀山明处处同,0.0
想寄封信儿告诉你，这层层的山，道道的水，又怎能到得了你的手中？,水远山长道自高,0.0
朝阳才照过开阔的岩口。,朝曦开霁景,0.0
朝阳才照过开阔的岩口。,开旷延阳景,1.0
朝阳才照过开阔的岩口。,三阳开景运,0.0
朝阳才照过开阔的岩口。,开尊延夕景,0.0
县官紧急地催逼百姓交租税。,县官薄税敛,0.0
县官紧急地催逼百姓交租税。,县官来索租,0.0
县官紧急地催逼百姓交租税。,县官新税急,0.0
县官紧急地催逼百姓交租税。,县官急索租,1.0
千年来为之黯然伤神。,千古伤心地,0.0
千年来为之黯然伤神。,徒伤千载心,0.0
千年来为之黯然伤神。,千古伤心日,0.0
千年来为之黯然伤神。,千载为伤心,1.0
我愿手持旌麾去吴兴上任。,欲把一麾江海去,1.0
我愿手持旌麾去吴兴上任。,欲乞一舟江海去,0.0
我愿手持旌麾去吴兴上任。,我把一麾江海去,0.0
我愿手持旌麾去吴兴上任。,已请一麾江海去,0.0
岁暮时不为什么也要在一起喝酒论道。,登临樽酒无因共,0.0
岁暮时不为什么也要在一起喝酒论道。,樽酒宁知此会同,0.0
